CSI#,MONTH CODE,SYMBOL,EXCHANGE,NAME,POINT VALUE,CONTRACT SIZE,UNIT OF MEASURE,CURRENCY,,,START DATE,,,,,FOOTNOTE,
112,54,XS,CBT,Mini Soybeans (MACE),1.25 USD,1000 bu,0.01 USD / bu,USD,,,19590701,,,,,,,
119,54,HSI,HKEX,Hang Seng Index (HKFE)(Combined),50 HKD,50 HKD x Index,points,HKD,,,19861231,,,,,,,
121,54,SRS,SICOM,Rubber RSS1,0.5 SGD,5 tonnes,0.01 SGD / kg,SGD,,,19810409,,,,,FN121,
127,54,SF2,CME,Swiss Franc (Floor Trading Only),12.50 USD,125000 CHF,USD,USD,,,19720523,,,,,,,
128,54,BP2,CME,British Pound  (Floor Trading Only),6.25 USD,62500 GBP,USD,USD,,,19700101,,,,,,,
129,54,CD2,CME,Canadian Dollar (Floor Trading Only),10 USD,100000 CAD,USD,USD,,,19720523,,,,,,,
131,54,FDX,EUREX,Dax Index,2.5 EUR,25 EUR x Index,points,EUR,,,19901126,,,,,,,
136,54,LCO,ICE,Crude-Brent(Combined) (IPE),10 USD,1000 bbl,USD / bbl,USD,,,19890228,,,,,,,
141,54,ED,CME,Eurodollar-3 Mth -Globex(Floor+Electronic Combined),2.5 USD,1000000 USD,USD / basis point,USD,,,19811209,,,,,,,
142,54,EM,CME,LIBOR(1Mth) (Floor+Electronic Combined),2.50 USD,3000000 USD,USD / basis point,USD,,,19900326,,,,,,,
144,54,US2,CBT,T-Bond-U.S.  (Floor Trading Only),3.125 USD,100000 USD,points,USD,,,19871117,,,,,,,
145,54,JAU,TCE,Gold-Tokyo (Day Session),1000 JPY,1 kg,JPY / gram,JPY,,,19830926,,,,,,,
148,54,LKD,EURONEXT,Coffee-Robusta (LCE),5 USD,5 tonnes,USD / tonne,USD,,,19681202,,,,,,,
149,54,SP,CME,S&P 500 Index (Floor Trading Only),2.50 USD,250 USD x Index,points,USD,,,19500103,,,,,FN149,
150,54,TY,CBT,T-Note-U.S. 10 Yr w/Prj A (Floor+Electronic Combined)X,15.625 USD,100000 USD,points,USD,,,19950810,,,,,,,
157,54,JTI,TSE,TOPIX Index (combined sessions),1000 JPY,10000 JPY x Index,points,JPY,,,19900403,,,,,,,
158,54,JGB,TSE,Japanese 10yr Govt Bond (Floor Only),10000 JPY,100000000 JPY,percent,JPY,,,19940316,,,,,,,
173,54,FSS,EURONEXT,Sterling Rate-3Mth (LIFFE),1.25 GBP,500000 GBP,GBP / basis point,GBP,,,19950816,,,,,,,
174,54,FLG,EURONEXT,Gilt-Long(8.75-13yr) (LIFFE),10 GBP,100000 GBP,percent,GBP,,,19950816,,,,,,,
180,54,FYB,EURONEXT,Japanese Govt Bond (LIFFE),10000 JPY,100000000 JPY,percent,JPY,,,20000214,,,,,,,
186,54,AB,WCE,Barley(Western),0.20 CAD,20 tonnes,CAD / tonne,CAD,,,19830228,,,,,FN186,
188,54,CL,NYMEX,Crude Oil Light (Floor Trading Only),10 USD,1000 bbl,USD / bbl,USD,,,19830330,,,,,FN188,
191,54,NG,NYMEX,Natural Gas-Henry Hub (Floor Trading Only),10 USD,10000 mmBtu,USD / mmBtu,USD,,,19950511,,,,,,,
192,54,SX,CME,S&P 100 Index,5 USD,500 USD x Index,points,USD,,,19830103,,,,,,,
193,54,MV,KCBT,Value Line Index(Mini),1 USD,100 USD x Index,points,USD,,,19750102,,,,,,,
199,54,LSU,EURONEXT,Sugar #5(White) (LCE),5 USD,50 tonnes,USD / tonne,USD,,,19870731,,,,,,,
204,54,JSV,TCE,Silver-Tokyo (Day Session),300 JPY,30 kg,JPY / 10 grams,JPY,,,19840126,,,,,FN204,
207,54,TU2,CBT,T-Note-U.S.  2 Yr(Floor+Electronic Combined)-#382 w/o last digit,31.25 USD,200000 USD,points,USD,,,19950810,,,,,,,
209,54,FFI,EURONEXT,FTSE 100 Index (LIFFE),1 GBP,10 GBP x Index,points,GBP,,,19840402,,,,,,,
213,54,YG,CBT,Gold (New York Based),3.32 USD,33.2 toz,USD / toz,USD,,,19921117,,,,,,,
214,54,SMI,EUREX,Swiss Market Index,1 CHF,10 CHF x Index,points,CHF,,,19901109,,,,,,,
224,54,HU,NYMEX,Gasoline Unleaded (Floor Trading Only),4.20 USD,42000 gal,USD / gal,USD,,,19841203,,,,,FN224,
225,54,YT1,SFE,Australian Govt Bond 6%-(10Yr)(rounded #381),80 AUD,100000 AUD,percent,AUD,,,19960424,,,,,,,
228,54,YBA,SFE,Australian Bank Bills (90 day),24 AUD,1000000 AUD,AUD / basis point,AUD,,,19840803,,,,,,,
230,54,YIX,SFE,Australian Share Price Index,2.50 AUD,25 AUD x Index,points,AUD,,,19840803,,,,,,,
231,54,YTT,SFE,Australian Govt Bond 6%(3Yr),2.8 AUD,100000 AUD,percent,AUD,,,19880519,,,,,,,
232,54,YAP,SFE,SPI 200 Index(Floor Trading Only),2.5 AUD,25 AUD x Index,points,AUD,,,19840803,,,,,,,
236,54,NW,MGE,Wheat-Winter,6.25 USD,5000 bu,0.01 USD / bu,USD,,,19850219,,,,,,,
248,54,SSI,SGX,Nikkei 225 Index(Combined) (SIMEX),500 JPY,500 JPY x Index,points,JPY,,,19840104,,,,,,,
249,54,SEY,SGX,Euroyen-3Mth  (SIMEX),250 JPY,100000000 JPY,JPY / basis point,JPY,,,19980410,,,,,,,
250,54,TY2,CBT,T-Note-U.S. 10 Yr  (Floor Trading Only),15.625 USD,100000 USD,points,USD,,,19950810,,,,,,,
251,54,FV,CBT,T-Note-U.S. 5 Yr (Floor+Electronic Combined),3.125 USD,100000 USD,points,USD,,,19950810,,,,,,,
255,54,JNI,OSE,Nikkei 225 Index  (Combined),1000 JPY,1000 JPY x Index,points,JPY,,,19880903,,,,,,,
258,54,BC,CME,Major Market Index (Floor Trading Only),5 USD,500 USD x Index,points,USD,,,19850806,,,,,,,
262,54,JY2,CME,Japanese Yen (Floor Trading Only),12.50 USD,12500000 JPY,USD / 100 JPY,USD,,,19720517,,,,,FN262,
263,54,DX,FINEX,U.S. Dollar Index,1 USD,1000 USD x Index,points,USD,,,19710104,,,,,,,
