DJCI,Dow Jones Corporate Bond Index,Buy
^DWMI,DOW JONES WILSHIRE US MICRO CAP,Buy
ILJ,Dynamic Mid Cap Growth Intellidex,Buy
DYO,DYNAMIC OTC INTELLIDEX INDEX,Buy
ILK,Dynamic Small Cap Growth Intellidex,Buy
ILZ,Dynamic Small Cap Value Intellidex,Buy
@GS30,GSPAED - S&P Aerospace & Defense,Buy
@GS70,GSPAPPL - S&P Household Appliances,Buy
@GS59,GSPAU - S&P Automobiles & Components,Buy
@GS60,GSPAUC - S&P Auto Components,Buy
@GS64,GSPAUTM - S&P Automobile Manufacturers,Buy
@GS63,GSPAUTO - S&P Automobiles,Buy
@GS61,GSPAUTP - S&P Auto Parts & Equip,Buy
@GS58,GSPD - S&P Consumer Discretionary,Buy
@GT59,GSPELCI - S&P Electronics (Instrument),Buy
@GT2,GSPFBT - S&P Food Beverage & Tobacco,Buy
@GT7,GSPFDPR - S&P Food Products,Buy
@GT9,GSPFOOD - S&P Foods,Buy
@GT22,GSPHCSS - S&P Health Care (Specialized S,Buy
@GT11,GSPHHPE - S&P Household & Personal Produ,Buy
@GT39,GSPINPC - S&P Insurance (Property-Casual,Buy
@GT35,GSPINSC - S&P Insurance,Buy
@GS72,GSPLEP - S&P Leisure Equipment & Product,Buy
@GS66,GSPLP - S&P Consumer Durables & Apparel,Buy
@GS82,GSPME - S&P Media,Buy
@GS87,GSPMS - S&P Retailing,Buy
@GS88,GSPMULR - S&P Multiline Retail,Buy
@GT58,GSPOFEL - S&P Office Electronics,Buy
@GS92,GSPRETA - S&P Retail (Specialty-Apparel),Buy
@GS89,GSPRETD - S&P Retail (Department Stores),Buy
@GT1,GSPRETF - S&P Retail (Food Chains),Buy
@GS90,GSPRETM - S&P Retail (General Merchandis,Buy
@GS96,GSPS - S&P Consumer Staples,Buy
@GS75,GSPTEX - S&P Textiles & Apparel,Buy
@GS42,GSPTKCD - S&P Electronics (Compo Distrib,Buy
@GT46,GSPTKCS - S&P Services (Computer Systems,Buy
@GT10,GSPTOBA - S&P Tobacco,Buy
@GS73,GSPTOYS - S&P Leisure Time (Products),Buy
@GS41,GSPTRA - S&P Trading Companies & Distrib,Buy
YIH,INTERNET INFRASTRUCT INDEX,Buy
KIX,KBW INSURANCE INDEX,Buy
RMN,Mini Russell 2000,Buy
IXHC,NASDAQ Healthcare Index,Buy
SPK,S&P 1000 Mid-Small Cap,Buy
SPCPG,S&P 1500/CG Pure Growth,Buy
SPCPGTR,S&P 1500/CG Pure Growth TR,Buy
SPCPV,S&P 1500/CG Pure Value,Buy
SPCPVTR,S&P 1500/CG Pure Value TR,Buy
MGD,S&P 400 Midcap Growth Index,Buy
TRGSPC,S&P 400 TR Index,Buy
SPMGTR,S&P 400/CG Growth TR,Buy
SPMPG,S&P 400/CG Pure Growth,Buy
SPMPGTR,S&P 400/CG Pure Growth TR,Buy
SPMPV,S&P 400/CG Pure Value,Buy
SPMPVTR,S&P 400/CG Pure Value TR,Buy
SPMVTR,S&P 400/CG Value TR,Buy
SPXPVTR,S&P 500/CG Pure Value TR,Buy
CVK,S&P 600 Smallcap Value Index,Buy
TR6GSPC,S&P 600 TR Index,Buy
SPSGTR,S&P 600/CG Growth TR,Buy
SPSPGTR,S&P 600/CG Pure Growth TR,Buy
SPSPV,S&P 600/CG Pure Value,Buy
SPSPVTR,S&P 600/CG Pure Value TR,Buy
SPSVTR,S&P 600/CG Value TR,Buy
GSPLSCI,S&P Life Science Tools & Services,Buy
^TS03,S&P TSX Banks,Buy
^TS06,S&P TSX Capital Goods,Buy
^TS24,S&P TSX Media,Buy
^TS28,S&P TSX Multi-Utilities,Buy
^TS37,S&P TSX Software and Services,Buy
^TTTS,S&P/TSX CDN TELECOM SVCS,Buy
^SBRIN,Sabrient Insider Index,Buy
^TTFS,TSE S&P Financials Index,Buy
^DCWPF,Wilshire 4500,Buy
AAIF.L,Aberdeen Asian Income Fund,Buy
AFC.L,AFC Energy,Buy
AGK.L,Aggreko,Buy
ACS.L,AI Claims Sol,Buy
APH.L,Alliance Pharm,Buy
AML.L,AMLIN,Buy
AND.L,Andor Technology,Buy
ANCR.L,Animalcare Group,Buy
ARM.L,Arm Holdings,Buy
BGS.L,Baill. G. Shin.,Buy
BARC.L,Barclays plc,Buy
BLT.L,BHP BILLITON PLC,Buy
BIOG.L,Biotech Growth Trust,Buy
BLCK.L,BLACKSTAR GROUP,Buy
BLVN.L,BowLeven,Buy
BST.L,BR SMLR VCT2,Buy
BPO.L,British Portfolio Trust,Buy
BNZL.L,Bunzl plc,Buy
CBAY.L,CBaySystems Holdings,Buy
CSN.L,Chesnara,Buy
CHLD.L,Chloride Group plc,Buy
CINE.L,Cineworld Group,Buy
CFX.L,COLEFAX GROUP,Buy
DDT.L,Dimension Data,Buy
DME.L,Discovery Metals,Buy
XSDR.L,DJ Stoxx 600 Health Care,Buy
DGO.L,Dragon Oil,Buy
EST.L,East European Trust,Buy
EDIN.L,Edinburgh Investment Trust,Buy
ENI.L,Edinburgh New Income Trust,Buy
ENV.L,Enova Systems,Buy
EXPN.L,Experian Group,Buy
FSC.L,F&C US SMALL CO,Buy
FDSA.L,Fidessa Group,Buy
FLTR.L,Filtrona,Buy
FGT.L,Finsbury Growth,Buy
FRCL.L,Foreign Colonial Investment Trust,Buy
FPT.L,Forth Ports plc,Buy
GLD.L,Gladstone Plc Ord 0.01p,Buy
GLBS.L,Globus Maritime,Buy
GOG.L,Go-Ahead Group plc,Buy
GSDO.L,Goldman Sachs Dynamic Opp,Buy
GHH.L,GOOCH & HOUSEGO,Buy
HMS.L,HALLIN MARINE,Buy
HFEL.L,Henderson Far East Income,Buy
HILS.L,Hill & Smith Holdings plc,Buy
HCM.L,Hutchison China Meditech,Buy
HVX.L,HUVEAUX ORD 10P,Buy
IMI.L,I M I plc,Buy
ICB.L,ICB Financial Group Holdings AG,Buy
IIM.L,IIMIA INVESTMENT GB,Buy
INVP.L,INVESTEC,Buy
BRIC.L,Ishares FTSE Bric 50,Buy
ISDE.L,iShares II PLC,Buy
ISEM.L,iShares II PLC,Buy
ISF.L,ISHARES PLC IFTSE 100,Buy
IEMI.L,Ishares S&P Emerging Mkts Infrastructure,Buy
ITE.L,ITE Group Plc Ord,Buy
IAE.L,Ithaca Energy,Buy
JRIC.L,Japan Residential Inv. Co.,Buy
JLT.L,Jardine Lloyd Thompson,Buy
JMAT.L,Johnson Mathey plc,Buy
JAM.L,JP Morgan Amer Invest,Buy
JMO.L,JPM Fleming Overseas Investors,Buy
JRS.L,JPMorgan Fleming Russian Secs PLC Ord 1p,Buy
JEO.L,JUPITER EURO OPPS TR PLC ORD1P,Buy
KBT.L,K3 Bus Tech Grp,Buy
KIT.L,Keystone Investment Trust,Buy
LID.L,LIDCO GRP PLC ORD 0.5P,Buy
LOQ.L,LO-Q,Buy
LUD.L,Ludorum,Buy
L100.L,Lyxor ETF FTSE 100,Buy
MPO.L,Macau Property Opp. Fund,Buy
MAI.L,MAINTEL HOLDINGS GB,Buy
MAJE.L,Majedie Inv.,Buy
MARL.L,Mariana Resources,Buy
MJT.L,Melchior Japan Investment Trust,Buy
MNZS.L,Menzies (John) plc,Buy
MERC.L,Merchant Sec,Buy
MNDI.L,Mondi Plc,Buy
MUL.L,MULBERRY GROUP,Buy
MUT.L,Murray Intl,Buy
MYI.L,Murray Investment Trust,Buy
EQQQ.L,NASDAQ-100 EUROPEAN TRACKER SHS NPV,Buy
NII.L,New India Inv,Buy
NVTA.L,Noventa,Buy
NVR.L,Nviro Cleantech,Buy
OML.L,Old Mutual Plc Ord 10p,Buy
PAC.L,Pacific Assets,Buy
PSON.L,Pearson plc,Buy
PFC.L,PETROFAC WI,Buy
PCT.L,Polar Capital Technology Trust,Buy
PFL.L,Premier Farnell Electronics plc,Buy
QDG.L,Quadrant Group,Buy
QFI.L,Quardr Fuel Intl,Buy
RTT.L,RCM Technology,Buy
RGS.L,Regenersis,Buy
RSW.L,Renishaw plc,Buy
SAB.L,SAB Miller,Buy
SAND.L,SANDVINE,Buy
SMT.L,Scotland Mtge Trust,Buy
SHG.L,SHANTA GOLD,Buy
SXS.L,Spectris PLC,Buy
SPX.L,Spirax-Sarco Engineering plc,Buy
SDM.L,Stadium Group,Buy
STHR.L,SThree,Buy
SCE.L,SURFACE TRNFORM,Buy
SWL.L,Swallowfield plc,Buy
TSCO.L,Tesco plc,Buy
TOMK.L,Tomkins plc,Buy
UU.L,United Utilities plc,Buy
WEIR.L,Weir Group plc,Buy
WCC.L,West China Cement,Buy
WPC.L,Witan Pac Inv,Buy
YNGA.L,Young & Co's Brewery plc,Buy
