3IN.L,3I Infrastructure
IEUR.L,ISHARES PLC
IFC.L,Indian Film Company
IFD.L,INSIGHT FOUNDAT GB
IFL.L,International Ferro Metals
IFM.L,INTANDEM FILMS
IFP.L,IFG Group
IFR.L,IFR Capital
IGAS.L,IGAS ENERGY
IGC.L,India Capital Growth Fund
IGD.L,INCAGOLD
IGE.L,IMAGE SCAN HLDGS
IGG.L,IG GRP HLDGS
IGLT.L,Ishares FTSE UK All Stks GILT
IGP.L,INTERCEDE GRP PLC ORD 25P
IGRE.L,ING Global Real Estate Secs
IHC.L,INDIA HOSPITALTY
IHG.L,INTRCONT HOTELS
IHGP.L,IN HOUSE GROUP
IHP.L,INTELLEGO HLDGS GB
IHUK.L,IMPACT HOLDINGS
III.L,3I Group plc
IIM.L,IIMIA INVESTMENT GB
IIP.L,Infrastructure India
IIT.L,INDEPENDENT INV TST PLC ORD 25
ILH.L,Invesco Leveraged Hi Yld Fd 1p
ILI.L,Imagelinx
ILX.L,INTELLEXIS
IMD.L,INDEPENDENT MEDIA DIST ORD 10P
IME.L,IMMEDIA GRP
IMG.L,Imagination Tech
IMI.L,I M I plc
IMJ.L,IMJACK
IMM.L,Immupharma
IMT.L,Imperial Tobacco Group
IMTK.L,Imaginatik
INB.L,INTERBULK INV GB
INCH.L,Inchcape plc
IND.L,INDIGOVISION GP
INDY.L,INDIA STAR
INF.L,INFORMA
INFO.L,Infoscreen Networks
INFR.L,Ishares FTSE Macquarie Glbl Inf 100
INL.L,Inland
INN.L,INNOVISION RESEARCH & TECH 1P
INPP.L,International Public Partnership
INRE.L,Invista Real Est.Inv Mngt Hldgs
INV.L,Investment Company
INVO.L,Invocas Group
INVP.L,INVESTEC
INVU.L,INVU
INXG.L,Ishares Pound IDX Lkd GILT
IOG.L,ISLAND OIL & GAS IE
IOM.L,IOMART GRP PLC ORD 1P
IPA.L,Invesco Perpetual AIM VCT
IPEL.L,Impellam Group
IPF.L,International Personal Finance
IPH.L,INTERACTIVE PROSP GB
IPI.L,IVESCO UK PROP GB
IPM.L,Irish Permanent
IPNT.L,Ipoint-media
IPO.L,IP2IPO Group
IPP.L,IPPLUS
IPR.L,International Power
IPRT.L,Invesco Perpetual Trust 2011
IPS.L,Ipso Ventures
IPSA.L,IPSA Group
IPT.L,ISIS PROP TST
IPU.L,Inv Perpuk Smlr
IPX.L,IMPAX ASST MNG
IQE.L,IQE PLC ORD 10P
IQH.L,IQ Holdings
IRC.L,INDIVIDUAL RESTAURANT
IRET.L,ING UK Real Estate Income Trust
IRG.L,Independent Resources
IRGP.L,INDIA REST GRP
IRP.L,IRP PROPERTY
IRV.L,Interserve
ISAT.L,Inmarsat
ISDE.L,iShares II PLC
ISEM.L,iShares II PLC
ISF.L,ISHARES PLC IFTSE 100
ISG.L,Interior Svcs Group Plc Ord 1p
ISL.L,I S Solutions
ISYS.L,Invensys plc ord 25p
ITA.L,Itacare Capital Investments
ITE.L,ITE Group Plc Ord
ITK.L,Intelek
ITKY.L,Ishares Msci Turkey
ITL.L,Intec Tele System
ITM.L,ITM POWER GB
ITPS.L,Ishares USD Tips
ITQ.L,INTERQUEST GRP
ITRK.L,INTERTEK TESTING SVC ORD 1P
ITV.L,ITV PLC
IVI.L,Invesco Inc Growth
JAM.L,JP Morgan Amer Invest
JAP.L,Japnse Accel Fund
JCH.L,JPMorgan Fleming Claverhouse IT
JCR.L,Just Car Clinics
JDW.L,Wetherspoon (J D) plc
JEL.L,Jersey Electricity
JEO.L,JUPITER EURO OPPS TR PLC ORD1P
JETG.L,JP Morgan Euro Growth In Trust
JFF.L,JPM Fleming Euro I.T.
JFJ.L,JPMF Japan Investors
JGC.L,Jupiter Green Investment Trust
JHD.L,James Halstead plc
JII.L,JPMORGAN FLEMING INDIAN IT PLC
JIL.L,Juridica Investments
JIM.L,JARVIS SECURITIES GB
JJB.L,JJB Sports
JKX.L,JKX Oil & Gas plc
JLH.L,J LEWIS OF HUNG
JLP.L,JUBILEE PLATINUM
JLT.L,Jardine Lloyd Thompson
JMAT.L,Johnson Mathey plc
JMC.L,JP Morgan Fleming Chinese Inv Tst
JMF.L,JPM Fleming Corp
JMI.L,JP MORGAN FLEMING SMALLER COS
JMO.L,JPM Fleming Overseas Investors
JPG.L,Jupiter Primdna
JPI.L,JP Morgan Fleming Inc and Cap IT
JPLH.L,Japan Leisure Hotels
JPR.L,Johnston Press plc
JPS.L,JPM FLEM JAP SM
JPU.L,JPMorgan Fleming US Disc IT
JQV.L,Jacques Vert plc
JRIC.L,Japan Residential Inv. Co.
JRS.L,JPMorgan Fleming Russian Secs PLC Ord 1p
JRVS.L,Jarvis plc
JSM.L,JSM Indochina
JSP.L,JESSOPS
KAH.L,Kalahari Minerals
KAZ.L,KAZAKHMYS WI
KBC.L,KBC Adv Tech PLC
KBT.L,K3 Bus Tech Grp
KCOM.L,KINGSTON COMMUN (HULL) PLC 10P
KDD.L,Kopan Diamond
KDR.L,KARELIAN DIAM
KEFI.L,Kefi Minerals
KEIF.L,Kenmore European Industrial Fund
KEN.L,Kenetics Group
KENZ.L,Kentz Corporation
KESA.L,KESA ELECTRICALS
KFX.L,Kofax
KGF.L,Kingfisher plc
KGP.L,Kingspan Group
KIE.L,Kier Group
KIO.L,KIOTECH INTL
KIT.L,Keystone Investment Trust
KIV.L,Keydata Income VCT 1
KIW.L,Kiwara
KLG.L,Kalimantan Gold Corp
KLN.L,Kellan Group
KLR.L,Keller Group plc
KMR.L,Kenmare Res.
KSI.L,Kleenair Systems International
KSK.L,KSK Power Ventur
KWI.L,KINGSWALK INV
KYGA.L,Kerry Group 'A'
KYS.L,KRYSO RESOURCES GB
L100.L,Lyxor ETF FTSE 100
L250.L,Lyxor ETF FTSE 250
LAD.L,Ladbrokes
LAM.L,Lamprell
LAND.L,Land Securities plc
LBE.L,Liberty
LCA.L,Low Carbon Accelerator
LCG.L,LONDON CAP GRP
LCT.L,Lincat Group plc
LDP.L,Leed Petroleum
LDSG.L,Leeds Group plc
LED.L,LED International Holdings
LEE.L,LEES FOODS
LEF.L,Ludgate Environmental Fd
LEME.L,Lyxor ETF MSCI Emerging Markets
LFI.L,Lon. Fin & Inv. Group
LGEN.L,Legal & General Group plc
LGN.L,Lagan Capital
LGNG.L,LEGION GROUP
LGO.L,Leni Gas & Oil
LGT.L,LIGHTHOUSE GROUP PLC ORD 1P
LID.L,LIDCO GRP PLC ORD 0.5P
LII.L,Liberty Intl.
LIN.L,Litcomp
LIO.L,Liontrust Asset Management plc ord 1p
LIV.L,Livermore  Inc Grp
LKI.L,Landkom International
LLAT.L,Lyxor ETF MSCI Em Latin America
LLAU.L,Lyxor ETF MSCI Em Latin America
LLOY.L,Lloyds Bank plc
LMI.L,Lonmin Plc Ord
LMR.L,Luminar PLC
LMT.L,Lombard Medical Technologies
LND.L,LANDORE RES
LNG.L,Leisure & Gaming
LOG.L,Logica plc
LOGP.L,Lansdowne Oil & Gas
LOK.L,LOK'N STORE GRP PLC ORD 1P
LOOK.L,Lookers plc
LOQ.L,LO-Q
LPA.L,LPA Group
LPX.L,Lipoxen
LQDE.L,Ishare Investop IE
LRD.L,Laird
LRE.L,Lancashire Holdings
LRL.L,LEYSHON RESORCE
LRM.L,Lombard Risk Management
LSC.L,London Security
LSE.L,LONDON STK EXCH PLC ORD 5P
LSL.L,LSL Property Services (WI)
LSLI.L,Lon. & St. Law. I.T.
LSP.L,London & Stamford Property
LSR.L,Local Shopping REIT (WI)
LTHM.L,LATHAM JAMES
LTI.L,Lindsell Train Investment Trust
LTS.L,Litho Supplies
LTW.L,LONDON TOWN
LUD.L,Ludorum
LUP.L,Lupus Capital
LVD.L,Lavendon Group Np
LWB.L,Low & Bonar plc
LWDB.L,Law. Deb. Corp.
LZM.L,Lonzim
MAB.L,MITCHELLS & BUT
MACF.L,Macfarlane Group plc
MAE.L,Mallett plc
MAI.L,MAINTEL HOLDINGS GB
MAJE.L,Majedie Inv.
MAMA.L,Mama Group
MARL.L,Mariana Resources
MARS.L,MARSTONS
MAT.L,Matica
MAV4.L,MAVEN INC & GROWTH
MBE.L,MWB BUSIN EXCH
MBH.L,MICHELBERSH BRICK GB
MBT.L,Mobile Tornado Group
MCAP.L,Mission Capital
MCAU.L,Speymill Macau Property Company
MCB.L,McBride plc
MCGN.L,Microgen Holdings plc
MCHL.L,MOUCHEL PLC ORD 0.25P
MCI.L,MCINERNEY HLDGS
MCKS.L,McKay Securities plc
MCM.L,Motivcom
MCP.L,M.C. Pacific
MCRB.L,Mobile Credit Baltic
MCRO.L,Micro Focus International
MDC.L,Media Corp
MDG.L,Mobile Doctors Group
MDW.L,MEDIWATCH
MDY.L,MDY Healthcare
MDZ.L,MEDIAZEST
MEC.L,MECOM GROUP
MEQ.L,M and G Equity Investment Tst
MEQI.L,M & G Equity IT Inc.
MER.L,MEARS GROUP
MERC.L,Merchant Sec
MERE.L,Matrix European Real Estate IT
MES.L,Messaging International
MET.L,Metro Baltic Horizons
MFX.L,MANX FINANCIAL
MGCR.L,Morgan Crucible Co plc
MGGT.L,Meggitt plc
MGHC.L,M & G High Income IT Cap.
MGHI.L,M & G High Income IT Inc.
MGNS.L,Morgan Sindall plc
MHG.L,MERCHANT HSE GRP
MIDD.L,ISHARES FTSE250 IE
MIG.L,Matrix Income & Growth 2 VCT
MIG1.L,MAVEN I&G
MIG2.L,MAVEN INC & GWT 2
MIG3.L,MAVEN INC & GWT 3
MIG4.L,Matrix Inc & Gwrth 4 VCT
MIGT.L,Midas Inc & Growth
MIN.L,Minoan Group
MIO.L,MINCO PLC ORD IEP 0.01
MIRA.L,Mirada
MIRL.L,Minera IRL
MIX.L,MATRIX INC & GRW GB
MIXT.L,Matrix Income & Growth VCT 3
MJT.L,Melchior Japan Investment Trust
MJW.L,MAJESTIC WINE PLC ORD 30P
MKLW.L,Mucklow (A.J.) Group plc
MKS.L,Marks & Spencer plc
MLC.L,Millennium & Cop
MLIN.L,Molins plc
MLO.L,Melorio
MMC.L,Management Consulting
MMS.L,Maghreb Minerals
MNDI.L,Mondi Plc
MNGS.L,Manganese Bronze Holdings plc
MNKS.L,Monks I.T.
MNL.L,Manchester & Lon
MNR.L,Minerva Plc
MNZS.L,Menzies (John) plc
MOG.L,MEDIT OIL & GAS
MONY.L,Moneysupermarket.com Plc
MOR.L,Morse Holdings plc ord 10p
MOS.L,Mobile Streams
MOU.L,Mount Engineering
MPE.L,MP Evans Grp
MPG.L,Maypole Group
MPI.L,MICHAEL PAGE INTL PLC ORD 1P
MPM.L,Minster Pharm
MPO.L,Macau Property Opp. Fund
MPS.L,MINORPLANET SYS
MRG.L,MERCURY RECYCLING GRP PLC 10P
MRM.L,METRODOME GROUP
MRN.L,Morson Group
MRO.L,MELROSE PLC
MRS.L,MELROSE RESOURCES ORDINARY SHA
MRW.L,Morrison (Wm) Supermarkets plc
MRX.L,Metalrax Group plc
MSG.L,Milestone Group
MSI.L,MS INTERNATIONAL ORDINARY SHS
MSLH.L,Marshalls plc
MSQ.L,MEDIA SQUARE
MST.L,Mid-States plc
MSY.L,Misys plc
MTA.L,Matra Petrol
MTC.L,Mothercare
MTE.L,Montanaro European Smaller Co
MTEC.L,Matchtech Group
MTH.L,Mithras Inv. Trust
MTL.L,METALS EXPLORA GB
MTO.L,Mitie Group plc
MTT.L,METAL-TECH
MTU.L,Montanaro UK
MTV.L,MOTIVE TV
MTVW.L,MOUNTVIEW ESTS
MTW.L,Mattioli Woods
MUL.L,MULBERRY GROUP
MUR.L,MURGITROYD GROUP
MUT.L,Murray Intl
MVC.L,Medavinci
MVW.L,Mavinwood
MWA.L,Mwana Gold
MWB.L,Maylebone Warwick
MWE.L,MTI Wireless Edge
MWG.L,Modern Water
MWJ.L,MORANT WRI JPN
MWY.L,Mid Wynd Int.
MXF.L,Medicx Fund
MXM.L,MAXIMA GB
MYI.L,Murray Investment Trust
NAD.L,Namakwa Diamonds
NAM.L,NORTH AMER BANK
NAR.L,Northamber plc
NAS.L,North Atl. Smlr
NASA.L,NASSTAR
NBI.L,Northbridge Industrial Services
NBL.L,Noble Investments (UK)
NBP.L,NARBOURO PLANT
NBPC.L,Naya Bharat Property Co PLC
NBR.L,Namibian Res
NBT.L,Netbenefit Plc Ord 1p
NCC.L,NCC Group
NCYF.L,New City High Yield Fund
NEPI.L,New Europe Property Investments
NET.L,NETCALL
NETD.L,Netdimensions (Holdings)
NEX.L,Nat'l Express Group plc
NFC.L,Next Fifteen Com
NFDS.L,Northern Foods plc
NG.L,Natl Grid Group
NGG.L,NEXTGEN GROUP
NGH.L,NETWORK GRP HLDS
NICL.L,Nichols (J.N.) plc
NII.L,New India Inv
NLD.L,Nordic Land
NMD.L,NORTH MIDLAND
NOA.L,Noble Aim VCT
NPT.L,Netplay TV
NRI.L,Nthn. Investors
NRRP.L,North River Resources
NSI.L,NEW STAR INV TST
NSN.L,NATASA MINING
NSV.L,Netservices
NTA.L,Northacre Plc Ord 2.5p
NTG.L,NORTHGATE PLC ORD 5P
NTN.L,NORTHERN 3 VCT
NTV.L,NORTHERN 2 VCT
NTX.L,NXT PLC
NTY.L,NETWORK TECH
NUM.L,NUMIS CORP
NUS.L,Nautilus Minerals Inc.
NUT.L,NEUTRAHEALTH
NVA.L,Novae Group
NVE.L,NOVERA ENERGY
NVR.L,Nviro Cleantech
NVT.L,Nthn. Venture
NVTA.L,Noventa
NWF.L,NWF GROUP
NWG.L,NRTHMBRN WATER
NWKI.L,Networkers Intl
NWS.L,Smiths News
NWT.L,Newmark Security
NXS.L,Nexus Management
NXT.L,Next plc
OAH.L,Oak Holdings
OCG.L,Oxford Catalysts Group
OCH.L,Orchid Developments Group
OCL.L,Oakley Capital Investments
OCN.L,Ocean Wilson
OCR.L,ONECLICKHR PLC ORD 1P
ODX.L,Omega Diag
OEC1.L,OCTOPUS VCT
OEX.L,Oilex Nl
OGN.L,Origin Enterprises
OHM.L,OFFSHORE HYDRO GB
OIG.L,Oryx Int'l Growth
OIH.L,OMEGA INSURANCE
OMG.L,Oxford Molecular Group plc
OMH.L,Osmetech Plc
OML.L,Old Mutual Plc Ord 10p
ONL.L,On-Line PLC
OOA.L,Octopus AIM VCT
OPD.L,OPD Group
OPF.L,OFF PLAN FD NPV
OPHX.L,OCTOPUS PHOENIX
OPM.L,1pm
OPP.L,ORIGO PARTNERS
OPT.L,OCEAN PWR TECH
OPTS.L,Optos
ORA.L,Ora Capital Partners
ORM.L,Ormonde Mining
ORPK.L,ORPAK SYSTEM
ORT.L,ORTUS VCT
OSA.L,OCTOPUS SND D
OSG.L,Opsec Sec Grp
OTE.L,O Twelve Estates
OTM.L,OTTOMAN FD
OVG.L,Ovoca Resources
OXA.L,Oxford Adv Surf
OXB.L,Oxford Biomedica
OXE.L,Oxeco
OXIG.L,Oxford Instruments plc
OXS.L,OXUS MINING PLC ORD 1P
OXT.L,Oxford Tech Venture
PAC.L,Pacific Assets
PACC.L,Prime Act Cap
PAG.L,Paragon Group
PANR.L,Pantheon Resources
PAP.L,PADDY POWER PLC ORD EUR 0.10
PAQ.L,PAQ International Holdings
PAV.L,Pennine Aim Vct.
PAY.L,PAYPOINT GB
PBTY.L,Probability
PCF.L,Private & Commercial Fin Group
PCH.L,POCHINS ORD 25P
PCI.L,Petroceltic Int
PCL.L,Pinnacle Staffing Group
PCT.L,Polar Capital Technology Trust
PDC.L,PRINTING.COM GB
PDF.L,Pangea Diamondfields
PDG.L,Pendragon plc
PDL.L,PETRA DIAMONDS LD ORD 10P
PDX.L,PURSUIT DYNAMICS PLC ORD 1P P
PEG.L,Petards Group
PEJR.L,Prospect Epicure J-REIT Val Fd
PELE.L,Petrolatine Energy
PEN.L,Pennant Intl Grp Plc Ord
PEQ.L,Private Equity Investor
PET.L,PETREL RESOURCES PLC ORD 1P
PEW.L,Prmr Enr & Water
PEY.L,Princess Private Equity Holding
PFC.L,PETROFAC WI
PFD.L,Premier Foods
PFG.L,Providant Financial plc
PFL.L,Premier Farnell Electronics plc
PFO.L,PRIME FOC LON
PGB.L,PILAT MEDIA GBL
PGC.L,Prologic
PGH.L,PERSONAL GROUP HOLDINGS PLC
PGL.L,PENINSULAR GOLD
PGS.L,PGS Solutions
PHC.L,PLANT HEALTH CARE GB
PHD.L,Proactis Holdings
PHO.L,Peel Hotels Plc Ord
PHP.L,Primary Health
PHRM.L,Phorm
PHSC.L,PHSC
PHTM.L,Photo-Me Int'l plc
PHU.L,Pactolus Hungarian Property
PIC.L,Pace Micro
PIM.L,Plant Impact
PINN.L,PINNACLE TEL
PIP.L,PIPEHAWK PLC ORD 1P
PIXL.L,Pixel Interactive Media
PKG.L,Park Group
PKW.L,Parkwood Holdings
PLA.L,Plastics Capital
PLAZ.L,Plaza Centers N.V.
PLE.L,PLETHORA S HLDGS
PLEI.L,Pantheon Leisure
PLI.L,Perptl, I&G Inv.
PLNT.L,Plantic Technologies
PLW.L,PLAYWIZE ORD
PMG.L,Parkhead Group
PMHL.L,Prosperity Minerals Holdings
PMK.L,Plus Markets Grp
PMO.L,Premier Oil plc
PMP.L,Portmeirion Potteries plc
PMR.L,Panmure Gordon
PMS.L,Palmaris Capital
PMV.L,Puma VCT II
PNA.L,Penna
PNB.L,PUBS N BARS PLC ORD 20P
PNE.L,PRESTON NTH END
PNG.L,PERSIAN GOLD
PNN.L,Pennon Group plc ord
PNS.L,Panther Securities plc
PNX.L,PHOENIX IT GROUP
POG.L,PETROPAVLOVSK
PON.L,Psion plc
POS.L,Plexus Holdings
POWR.L,Powerflute OYJ
PPA.L,Pan Pacific Aggregates
PPN.L,Platmin
PPR.L,PENTAGON PROT.
PPS.L,Proton Power Systems
PPT.L,Planet Group
PRA.L,PRAESEPE
PRD.L,Prodesse Investment
PRE.L,Pan Andean Resources plc
PRES.L,Pressure Technologies
PRF.L,Premier Renewable Energy Fund
PRL.L,POLO RESOURCES
PRM.L,PROTEOME SCIENCES ORDINARY SHA
PROP.L,Property Recycling Group
PROV.L,Proventec
PRP.L,PRIME PEOPLE
PRTY.L,Partygaming
PRU.L,Prudential Corp plc
PRV.L,Porvair plc
PRX.L,Proximagen Neuroscience
PSK.L,PROSTRAKAN WI
PSN.L,Persimmon plc
PSON.L,Pearson plc
PSPI.L,Public Service Properties Inv
PST.L,Portrait Soft
PTD.L,Pittards
PTEC.L,Playtech
PTH.L,PROMETHEAN
PTMN.L,Petmin
PTO.L,PUBLISHING TECH
PTR.L,Petroneft Resources
PTS.L,PATSYSTEMS
PTX.L,Protonex Technology Corporation
PTY.L,Parity plc
PUB.L,PUNCH TAVERNS PLC ORD SHS
PUMC.L,Puma VCT III
PUR.L,PURE WAFER GB
PURE.L,Purecircle
PVCS.L,PV Crystalox Solar
PVN.L,PROVEN VCT
PWS.L,PINEWOOD-SHEPP GB
PYC.L,PHYSIONOMICS GB
PZC.L,PZ CUSSONS
QDG.L,Quadrant Group
QED.L,Quintain Estates & Development
QFI.L,Quardr Fuel Intl
QQ.L,QinetiQ Group
QRT.L,Quarto Group
QTI.L,Qonnectis
QWIL.L,QUEEN S WALK WI
QYM.L,Quayle Munro
RAB.L,RAB Capital
RAM.L,Ram Inv Grp
RAT.L,Rathbone Brothers plc
RAY.L,RAYMARINE GB
RB.L,Reckitt Benckiser
RBG.L,Rensburg
RBN.L,ROBINSON PLC GB
RBS.L,Royal Bank Scotland plc
RCAP.L,RICMORE CAPITAL
RCDO.L,Ricardo Group plc
RCG.L,RCG Holdings
RCP.L,RIT Capital Part
RDP.L,Radicle Projects
RDSA.L,Royal Dutch Shell
RDW.L,Redrow Group plc
RE.L,R.E.A. HLDGS PLC ORD 25P
REAL.L,Real Office Group
RED.L,REDSTONE TELECOM PLC ORD 5P
REDT.L,RED24
REH.L,RENEWABLE ENERGY
REL.L,Reed Elsevier
REO.L,REAL ESTATE OPPORT LTD 1P
RES.L,Rugby Estates plc
REX.L,REXAM plc
RGD.L,Real Good Food Company
RGI.L,R.G.I. International (WI)
RGO.L,2 Ergo Group
RGP.L,Ross Group
RGS.L,Regenersis
RGT.L,REGEN THERAPEUT
RGU.L,REGUS PLC ORD 5P
RGY.L,REENERGY GROUP
RHEP.L,Rheochem
RHL.L,Redhall Group
RIIG.L,Res In Insurance
RIO.L,Rio Tinto Plc
RLE.L,REAL ESTATE INV
RLH.L,Red Leopard Holdings
RM.L,RM plc
RMLA.L,RUSINA MINING
RMM.L,RAMBLER METALS
RMV.L,Rightmove
RNK.L,Rank Organisation plc
RNO.L,Renold plc
RNSM.L,Ransom (William)
RNVO.L,Renovo Group
RNWH.L,Renew Holdings
ROE.L,ROEFORD PROPRTS
ROK.L,ROK Property
ROL.L,Rotala
ROM.L,Romag Holdings
ROR.L,Rotork plc
RPC.L,RPC Group plc
RPL.L,Renewable Power & Light
RPS.L,RPS Group plc
RPT.L,REGAL PETROLEUM
RQIH.L,Randall & Quilter Invest. Hldgs
RR.L,Rolls-Royce plc
RRF.L,Rapid Realisations Fd
RRR.L,Red Rock Resources
RRS.L,RANDGOLD RESOURCES LD ORD
RSA.L,Royal & Sun Alliance Insurance Group
RSS.L,RAB Special
RSW.L,Renishaw plc
RTN.L,Restaurants Group plc
RTO.L,Rentokil Group plc
RTS.L,Robotic Technology Sys Plc 1p
RTT.L,RCM Technology
RUBI.L,Rubicon Software Group
RUG.L,Renaissance
RUR.L,RURELEC GB
RWA.L,ROBERT WALTERS PLC ORD 20P
RWD.L,Wiseman (Robert) Dairies plc
RYA.L,Ryanair Holdings plc ord
SAA.L,M&C Saatchi
SAB.L,SAB Miller
SAF.L,Safeland
SAFE.L,Safestore Holdings
SAL.L,SPACEANDPEOPLE GB
SAND.L,SANDVINE
SAPO.L,South African Property Opps
SAR.L,SAREUM HOLDINGS GB
SAVG.L,Savile Grp
SBRY.L,Sainsbury (J) plc
SBT.L,SPORTINGBET PLC ORD 0.1P
SC.L,Supercart
SCAM.L,Scotland American Invest
SCAP.L,Shariah Capital
SCE.L,SURFACE TRNFORM
SCF.L,Schroder Inc.
SCHE.L,Southern Cross Healthcare
SCIN.L,Scotland Invest Trust
SCO.L,SCOTTY GROUP
SCP.L,Schroder M&S Fd
SCPA.L,Scapa Group plc
SDIC.L,Speymill Deutsche Immobilien Co
SDL.L,Sdl Plc Ord 1p
SDM.L,Stadium Group
SDP.L,Schroder Asia
SDR.L,Schroders plc
SDRC.L,Schroders N/V
SDS.L,SUNRISE DIAM
SDU.L,Schroder UK
SDV.L,Small Co's Dividend Trust
SDY.L,Speedy Hire
SEC.L,STRATEGIC EQ CAP
SED.L,Saltus European Debt Strategies
SEE.L,SEEING MACHINES
SEO.L,Stanelco
SEP.L,Standard Life Euro Pri Eqty Tst
SEPU.L,Sepura
SER.L,SEFTON RESOURCES INC COM SHS N
SEV.L,SERVISION GB
SEY.L,STERLING ENERGY
SFR.L,SEVERFIELD-ROWEN PLC
SFT.L,Sinosoft Technology
SGC.L,Stagecoach Holdings plc
SGE.L,Sage Group plc
SGG.L,Sterling Green Group
SGH.L,SATCOM GRP
SGI.L,STANLEY GIBBONS GROUP LD ORD 1P
SGM.L,SIGMA TECH
SGRO.L,SEGRO
SHB.L,Shaftesbury plc
SHD.L,Shires Smlr. Co.
SHDP.L,Shed Productions
SHG.L,SHANTA GOLD
SHI.L,SIG plc
SHP.L,Shire Pharmaceutical
SHRS.L,Shires Income Plc
SIA.L,Soco Int'l
SID.L,Silverdell
SIG.L,SIGNET JEWELERS
SIM.L,Simigon
SIN.L,SPECTRUM INTER
SIV.L,St. Ives plc
SIXH.L,600 Group plc
SJG.L,Schroder Japan
SKC.L,STOCKCUBE
SKG.L,Smurfit Kappa(WI)
SKHG.L,Sky High
SKP.L,Skyepharma
SKS.L,Shanks Group PLC
SL.L,Standard Life
SLET.L,Stand Life Eq
SLI.L,Standard Life Inv
SLM.L,Slimma
SLN.L,Silent Therapy
SLNG.L,SLINGSBY
SLV.L,Sylvania Resources
SLXX.L,ISHARES IBOXX IE
SMDR.L,Salamander Energy
SMDS.L,Smith (David S) Holdings plc
SMIN.L,Smiths Industries plc
SMJ.L,Smart (J) & Co plc
SMP.L,St. Mowden Properties plc
SMT.L,Scotland Mtge Trust
SMWH.L,Smith (W.H.) Group plc
SN.L,Smith & Nephew Cos plc ord 10p
SNCL.L,Sinclair (Wm) Holdings plc
SND.L,SANDERSON HLDGS GB
SNG.L,Synairgen
SNR.L,Senior Engineering Group plc
SNS.L,Silanis International
SNT.L,Sabien Technology Group
SOG.L,STATPRO GRP PLC ORD 1P
SOI.L,Schroder Oriental Income Fund
SOLG.L,Solomon Gold
SOLO.L,SOLO OIL
SOM.L,Somero Enterprise
SOR.L,Supporta
SORB.L,SORBIC INTL
SOU.L,SOUND OIL
SPD.L,Sports Direct International
SPE.L,SOPHEON PLC
SPFL.L,SOFIA PROPERTY
SPI.L,SPICE
SPK.L,Spark Ventures
SPMG.L,Sports Media Grp
SPO.L,Sportech NP
SPPC.L,St Peter Port Capital
SPT.L,SPIRENT PLC ORD 3 1/3P
SPX.L,Spirax-Sarco Engineering plc
SQS.L,SQS SOFT QLTY
SQZ.L,SERICA ENERGY WI
SR.L,SR Europe Investment Trust
SRB.L,SERABI MINING
SRP.L,Serco Group plc
SRSP.L,SIRIUS PETROLEUM
SRT.L,Software Radio Technology
SSE.L,Scottish & Southern Energy plc ord 50p
SSL.L,SSL International plc ord 10p
SSP.L,SOLID STATE SUPL
SST.L,Scot. Orntl. Smll.
SSV.L,Siteserv
STA.L,STAGECOACH THRTR
STAF.L,STAFFLINE GRP
STAN.L,Standard Chartered plc
STBR.L,Southern Bear
STE.L,Stewart and Wight
STF.L,SMARTFOCUS GROUP GB
STHR.L,SThree
STI.L,STRATEX INTL
STJ.L,St James's Place
STL.L,Stilo International
STM.L,STM Group
STOB.L,Stobart Grp
STP.L,Spiritel Plc
STR.L,STRAT THOU GRP
STS.L,Secs Trust of Scotland
STT.L,STRAIGHT PLC
STTM.L,Strontium
STVG.L,STV Group
SUH.L,SUTTON HARBOUR
SUMM.L,Summit Corp
SUN.L,SURGICAL INNOV
SUS.L,S & U plc
SVC2.L,Quester VCT 4
SVCA.L,Servoca
SVCT.L,Quester Vct Plc
SVE.L,Starvest
SVG.L,SVM Global Fund PLC
SVI.L,Schroder Ven. I.T.
SVM.L,SVM OFEX FUND PLC
SVN.L,Sovereign Rev
SVO.L,Service Office Group
SVR.L,SERVICEPOWER TECH PLC ORD 10P
SVS.L,Savills plc
SVT.L,Severn Trent Water plc
SVU.L,SVM UK Active
SWB.L,SPORTSWINBET
SWG.L,Scott Wilson Group
SWJ.L,JOHN SWAN
SWL.L,Swallowfield plc
SWP.L,SWP Group
SXS.L,Spectris PLC
SXX.L,Sirius Exploration
SYG.L,Speymill
SYM.L,SYMPHONY PLASTIC
SYN.L,Syntopix Group
SYNC.L,Synchronica
SYR.L,SYNERGY HEALTHCARE PLC ORD
SYS.L,SYSTEM C HEALTH
TAL.L,TEN ALPS COMMS
TALV.L,Talvivaara Mining Company
TAST.L,Tasty
TATE.L,Tate & Lyle plc
TAU.L,Tau Capital
TBK.L,Ted Baker
TCG.L,Thomas Cook Group
TCM.L,TELIT COMMS
TCN.L,TRICORN GROUP
TCSC.L,TOWN CENTRE SECURITIES PLC
TCY.L,Telecity Group
TEF.L,TELFORD HOMES
TEG.L,Teg Environment
TEM.L,Templeton Emerging Market
TEP.L,TELECOM PLUS PLC ORD .05P
TET.L,Treatt plc
TFC.L,TrafficMaster plc
TFL.L,THEO FENNELL
TFW.L,Thorpe (FW) plc
THB.L,THB GROUP
THF.L,Thirdforce
THR.L,Thor Mining
THRG.L,Throgmorton Trust
THT.L,Thorntons plc
TIC.L,TAPESTRY INC CO PCC
TIDE.L,Crimson Tide
