3IN.L,3I Infrastructure
BDEV.L,Barratt Developments plc
BDI.L,Bond Intl Software
BDT.L,BIDTIMES
BDV.L,Baronsmead Vct.
BEE.L,Baring Emer.eur.tst Wt/Sub Ord
BEG.L,BEGBIES TRAYNOR GB
BEK.L,Berkeley Tech
BEM.L,BEOWULF MINING
BES.L,BLAVOD BLK VODKA
BEST.L,Best of The Best
BEZ.L,BEAZLEY GROUP
BG.L,Bg
BGBL.L,Bglobal
BGC.L,Btg
BGFD.L,Baill. G. Jap.
BGO.L,BANGO
BGS.L,Baill. G. Shin.
BGT.L,BRIGHT THINGS GB
BGTI.L,BGENUINETEC
BHGG.L,BH Global
BHMG.L,BH MACRO LTD GBP
BHN.L,Bluehone A Vct2
BHY.L,Boot (Henry) & Sons plc
BIF.L,BARCLAYS GLOBAL INVESTORS ENDO
BII.L,Biocompatibles Int'l plc
BILL.L,BILLING SERVICES
BILN.L,BILLINGTON HLDNG
BIOG.L,Biotech Growth Trust
BIP.L,Biofutures International
BISI.L,Bisichi Mining
BJU.L,Brainjuicer Group
BKIR.L,Bank Ireland
BKY.L,Berkeley Resources
BLCK.L,BLACKSTAR GROUP
BLD.L,Bulgarian Land Development
BLEY.L,Bailey (C.H.)
BLK.L,Blackrock International Land
BLKA.L,Black Arrow
BLND.L,British Land plc
BLNX.L,Blinkx
BLP.L,Blue Planet Euro Fin Inv Tst
BLT.L,BHP BILLITON PLC
BLU.L,BLUE STAR CAPITAL GB
BLVN.L,BowLeven
BLZ.L,Emblaze Systems
BMD.L,BARONSMEAD VCT 3
BMS.L,BRAEMAR SEASCOPE
BMT.L,BRAIME
BMTO.L,Braime T. F& J H.
BMY.L,Bloomsbury Pub.
BNS.L,BARONSMEAD 4 DE
BNZL.L,Bunzl plc
BOK.L,Booker Group
BOR.L,BORDER & SOUTH
BOY.L,Bodycote Int'l plc
BP.L,BP PLC
BPFA.L,BLUE PLNT I.T.1
BPFE.L,BLUE PLANET NO3
BPI.L,British Polythene Industries
