PTR.L,Petroneft Resources,Buy
PGB.L,PILAT MEDIA GBL,Buy
PDX.L,PURSUIT DYNAMICS PLC ORD 1P P,Buy
RE.L,R.E.A. HLDGS PLC ORD 25P,Buy
RGD.L,Real Good Food Company,Buy
RB.L,Reckitt Benckiser,Buy
RTO.L,Rentokil Group plc,Buy
RMV.L,Rightmove,Buy
RSA.L,Royal & Sun Alliance Insurance Group,Buy
SUS.L,S & U plc,Buy
SAND.L,SANDVINE,Buy
SCAM.L,Scotland American Invest,Buy
SHG.L,SHANTA GOLD,Buy
SHP.L,Shire Pharmaceutical,Buy
SIG.L,SIGNET JEWELERS,Buy
SIA.L,Soco Int'l,Buy
SOLO.L,SOLO OIL,Buy
SOG.L,STATPRO GRP PLC ORD 1P,Buy
TIGT.L,TROY INC & GRW,Buy
UU.L,United Utilities plc,Buy
VTG.L,VT GROUP,Buy
WSP.L,WYNNSTAY PROPS,Buy
ZTR.L,ZETAR GB,Buy
